Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,0,0,0.0281
0.1,0.0046,0.0065,0.0219
0.2,0.0127,0.012,0.0215
0.3,0.0206,0.0176,0.0138
0.4,0.0285,0.0198,0.0171
0.5,0.0366,0.0221,0.0137
0.6,0.0446,0.0278,0.0125
0.7,0.0525,0.0311,0.0106
0.8,0.0605,0.0327,0.0081
0.9,0.0684,0.0347,0.0058
1,0.0765,0.0353,0.006
1.1,0.0845,0.036,0.0054
1.2,0.0925,0.0367,0.006
1.3,0.1006,0.0361,0.0047
1.4,0.1085,0.0368,0.0138
1.5,0.1166,0.0376,0.0102
1.6,0.1245,0.0391,0.0094
1.7,0.1325,0.0395,0.0116
1.8,0.1405,0.0402,0.0096
1.9,0.1484,0.0412,0.0111
2,0.1565,0.0421,0.0109
2.1,0.1645,0.0429,0.0104
2.2,0.1725,0.0434,0.01
2.3,0.1805,0.0439,0.0112
2.4,0.1884,0.0442,0.0104
2.5,0.1965,0.0446,0.0125
2.6,0.2045,0.0451,0.011
2.7,0.2124,0.0459,0.013
2.8,0.2205,0.0466,0.0123
2.9,0.2285,0.047,0.0133
3,0.2365,0.0477,0.0145
3.1,0.2445,0.0487,0.0151
3.2,0.2525,0.0506,0.0157
3.3,0.2605,0.0526,0.0165
3.4,0.2684,0.0561,0.0173
3.5,0.2765,0.0606,0.0185
3.6,0.2845,0.0654,0.0194
3.7,0.2925,0.0737,0.0213
3.8,0.3005,0.0997,0.0223
3.9,0.3084,0.1302,0.024
4,0.3164,0.1685,0.0242
4.1,0.3244,0.21,0.0232
4.2,0.3324,0.2464,0.0226
4.3,0.3405,0.2799,0.0202
4.4,0.3485,0.3112,0.0185
4.5,0.3565,0.3411,0.0154
4.6,0.3644,0.3684,0.0128
4.7,0.3725,0.3948,0.0108
4.8,0.3804,0.4193,0.008
4.9,0.3884,0.4428,0.0064
5,0.3965,0.4659,0.0045
5.1,0.4045,0.4869,0.0024
5.2,0.4125,0.5071,0.0005
5.3,0.4205,0.5263,-0.002
5.4,0.4285,0.5453,-0.0031
5.5,0.4365,0.5632,-0.0042
5.6,0.4445,0.5804,-0.0047
5.7,0.4524,0.597,-0.005
5.8,0.4605,0.6131,-0.0066
5.9,0.4685,0.6286,-0.0068
6,0.4765,0.6439,-0.0073
6.1,0.4845,0.6584,-0.0078
6.2,0.4925,0.6735,-0.0075
6.3,0.5005,0.688,-0.0086
6.4,0.5085,0.7022,-0.0082
6.5,0.5165,0.7168,-0.0083
6.6,0.5245,0.7311,-0.0087
6.7,0.5325,0.7448,-0.0084
6.8,0.5405,0.7583,-0.0089
6.9,0.5485,0.7726,-0.0088
7,0.5565,0.7865,-0.009
7.1,0.5645,0.8004,-0.0094
7.2,0.5724,0.8143,-0.0085
7.3,0.5805,0.828,-0.0087
