Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,0,0,-0.0002
0.1,0.0358,0.0299,0.0396
0.2,0.0911,0.0564,0.0801
0.3,0.1464,0.0561,0.0984
0.4,0.2019,0.0567,0.0989
0.5,0.2574,0.0577,0.0951
0.6,0.3129,0.0592,0.0967
0.7,0.3686,0.0621,0.0978
0.8,0.4242,0.0858,0.1187
0.9,0.4798,0.1245,0.1797
1,0.5354,0.1624,0.226
1.1,0.5909,0.1986,0.2813
1.2,0.6465,0.2341,0.3385
1.3,0.7022,0.268,0.3873
1.4,0.7577,0.3008,0.4364
1.5,0.8133,0.3325,0.4882
1.6,0.8689,0.3628,0.5372
1.7,0.9245,0.3916,0.5839
1.8,0.9802,0.4192,0.6329
1.9,1.0357,0.4453,0.6799
2,1.0913,0.4704,0.7222
2.1,1.147,0.4942,0.7652
2.2,1.2026,0.5168,0.8094
2.3,1.2582,0.5386,0.8535
2.4,1.3137,0.5599,0.8933
2.5,1.3694,0.5811,0.9349
2.6,1.4249,0.6021,0.9784
2.7,1.4805,0.6229,1.023
2.8,1.5362,0.6434,1.067
2.9,1.5918,0.6638,1.1151
3,1.6473,0.6842,1.161
3.1,1.7029,0.7043,1.2097
3.2,1.7585,0.7241,1.26
3.3,1.8141,0.7435,1.3106
3.4,1.8698,0.7622,1.3628
3.5,1.9254,0.7805,1.4158
3.6,1.981,0.7984,1.4707
3.7,2.0366,0.8155,1.5267
3.8,2.0921,0.8319,1.5841
3.9,2.1477,0.8478,1.6413
4,2.2033,0.8634,1.7007
4.1,2.259,0.8785,1.7611
4.2,2.3146,0.8928,1.8266
4.3,2.3701,0.907,1.8863
4.4,2.4257,0.9206,1.9475
4.5,2.4813,0.9338,2.0111
4.6,2.5369,0.9469,2.0749
4.7,2.5926,0.9595,2.139
4.8,2.6481,0.9718,2.2029
4.9,2.7038,0.9838,2.2673
5,2.7594,0.9955,2.3329
5.1,2.815,1.0072,2.398
5.2,2.8705,1.0185,2.4642
5.3,2.9261,1.0295,2.5302
5.4,2.9818,1.0404,2.5967
5.5,3.0373,1.0513,2.6629
5.6,3.093,1.0616,2.7299
5.7,3.1486,1.072,2.7972
5.8,3.2042,1.082,2.8661
5.9,3.2598,1.092,2.9334
6,3.3154,1.1017,3.0004
6.1,3.3709,1.1114,3.0679
6.2,3.4265,1.1209,3.1346
6.3,3.4821,1.13,3.202
6.4,3.5378,1.1394,3.2684
6.5,3.5933,1.1484,3.3348
6.6,3.649,1.1573,3.4024
6.7,3.7045,1.1661,3.4701
6.8,3.7601,1.1748,3.5378
6.9,3.8158,1.1832,3.6046
7,3.8714,1.1914,3.6717
7.1,3.927,1.1996,3.739
7.2,3.9825,1.2075,3.8074
7.3,4.0382,1.2155,3.8752
7.4,4.0938,1.2231,3.9427
7.5,4.1494,1.2305,4.0103
7.6,4.2049,1.2382,4.0784
7.7,4.2605,1.2454,4.1468
7.8,4.3161,1.2529,4.2152
7.9,4.3717,1.2598,4.2829
8,4.4273,1.2668,4.352
8.1,4.4829,1.2735,4.4213
8.2,4.5386,1.2804,4.4905
8.3,4.5942,1.2869,4.5596
8.4,4.6497,1.2933,4.6284
8.5,4.7054,1.2998,4.6975
8.6,4.761,1.3062,4.7678
8.7,4.8166,1.312,4.8378
8.8,4.8722,1.3179,4.9084
8.9,4.9277,1.3238,4.9804
9,4.9833,1.3296,5.0524
9.1,5.0389,1.335,5.1236
9.2,5.0945,1.3405,5.1953
9.3,5.1501,1.3459,5.2676
9.4,5.2057,1.3511,5.3384
9.5,5.2613,1.3562,5.4101
9.6,5.3169,1.361,5.4826
9.7,5.3725,1.3659,5.5555
9.8,5.4282,1.3705,5.6289
9.9,5.4838,1.3753,5.7023
10,5.5394,1.3795,5.7754
10.1,5.595,1.3838,5.8495
10.2,5.6506,1.3882,5.9246
10.3,5.7061,1.3921,5.9998
10.4,5.7617,1.396,6.0746
10.5,5.8173,1.3999,6.1498
10.6,5.8729,1.4035,6.2261
10.7,5.9285,1.4071,6.3034
10.8,5.9841,1.4105,6.3805
10.9,6.0398,1.4136,6.4587
11,6.0954,1.417,6.5356
11.1,6.151,1.42,6.6142
11.2,6.2066,1.423,6.6936
11.3,6.2622,1.4256,6.7728
11.4,6.3178,1.4285,6.8509
11.5,6.3734,1.4311,6.9305
11.6,6.4289,1.4334,7.0106
11.7,6.4845,1.4359,7.0912
11.8,6.5402,1.4382,7.1719
11.9,6.5957,1.4404,7.2533
12,6.6513,1.4422,7.3344
12.1,6.7069,1.4441,7.4168
12.2,6.7625,1.446,7.4994
12.3,6.8182,1.4475,7.5827
12.4,6.8737,1.4494,7.6647
12.5,6.9294,1.451,7.7483
12.6,6.985,1.4525,7.8319
12.7,7.0406,1.454,7.9166
12.8,7.0961,1.4552,8.002
12.9,7.1517,1.4564,8.0867
13,7.2074,1.4576,8.1717
13.1,7.263,1.4584,8.2576
13.2,7.3185,1.4595,8.344
13.3,7.3741,1.4605,8.4313
13.4,7.4297,1.4614,8.5181
13.5,7.4854,1.4621,8.6043
13.6,7.5409,1.4627,8.6924
13.7,7.5965,1.4633,8.7803
13.8,7.6522,1.464,8.8696
13.9,7.7078,1.4644,8.9573
14,7.7634,1.4648,9.046
14.1,7.8189,1.4651,9.1349
14.2,7.8745,1.4653,9.2247
14.3,7.9302,1.4657,9.315
14.4,7.9858,1.466,9.4043
14.5,8.0413,1.466,9.4946
14.6,8.0969,1.4662,9.5848
14.7,8.1526,1.466,9.6763
14.8,8.2081,1.4661,9.7679
14.9,8.2638,1.4663,9.8592
15,8.3194,1.466,9.9504
15.1,8.375,1.4658,10.0424
15.2,8.4306,1.4657,10.1342
15.3,8.4861,1.4654,10.2282
15.4,8.5417,1.4652,10.3196
15.5,8.5973,1.4649,10.4119
15.6,8.6529,1.4647,10.5057
15.7,8.7085,1.4644,10.5994
15.8,8.7641,1.4639,10.6938
15.9,8.8198,1.4635,10.7872
16,8.8754,1.4631,10.8808
16.1,8.9309,1.4624,10.9749
16.2,8.9866,1.462,11.0704
16.3,9.0422,1.4616,11.1652
16.4,9.0978,1.4607,11.26
16.5,9.1534,1.4602,11.3547
16.6,9.2089,1.4596,11.4496
16.7,9.2646,1.459,11.5455
16.8,9.3201,1.4583,11.6414
16.9,9.3758,1.4577,11.7372
17,9.4313,1.4571,11.8327
17.1,9.4869,1.4562,11.9285
17.2,9.5425,1.4556,12.0251
17.3,9.5982,1.4545,12.1221
17.4,9.6538,1.454,12.2178
17.5,9.7094,1.4531,12.3146
17.6,9.765,1.4524,12.4111
17.7,9.8206,1.4513,12.5085
17.8,9.8762,1.4507,12.6062
17.9,9.9318,1.4497,12.703
18,9.9873,1.4491,12.7993
18.1,10.0429,1.4481,12.8972
18.2,10.0986,1.4473,12.9955
18.3,10.1542,1.4461,13.0937
18.4,10.2098,1.4453,13.1912
18.5,10.2653,1.4443,13.2883
18.6,10.321,1.4433,13.387
18.7,10.3766,1.4425,13.4856
18.8,10.4322,1.4414,13.5845
18.9,10.4878,1.4404,13.6824
19,10.5433,1.4397,13.7797
19.1,10.5989,1.4386,13.8788
19.2,10.6546,1.4375,13.9783
19.3,10.7101,1.4366,14.0772
19.4,10.7657,1.4356,14.1765
19.5,10.8214,1.4346,14.2746
19.6,10.877,1.4336,14.3738
19.7,10.9325,1.4325,14.4738
19.8,10.9881,1.4315,14.5734
19.9,11.0437,1.4304,14.6722
20,11.0993,1.4293,14.7701
20.1,11.155,1.4283,14.8704
20.2,11.2106,1.4273,14.9704
20.3,11.2662,1.4261,15.0706
20.4,11.3218,1.4253,15.1698
20.5,11.3773,1.4242,15.2692
20.6,11.4329,1.4231,15.3663
20.7,11.4885,1.422,15.465
20.8,11.5441,1.421,15.5646
20.9,11.5997,1.4199,15.6653
21,11.6553,1.4188,15.7649
21.1,11.7109,1.4177,15.8653
21.2,11.7666,1.4166,15.9659
21.3,11.8222,1.4156,16.0665
21.4,11.8777,1.4144,16.167
21.5,11.9334,1.4134,16.2664
21.6,11.989,1.4123,16.3681
21.7,12.0446,1.411,16.4684
21.8,12.1001,1.4101,16.5693
21.9,12.1557,1.4089,16.6679
22,12.2113,1.4077,16.7673
22.1,12.267,1.407,16.8664
22.2,12.3225,1.4057,16.9691
22.3,12.3781,1.4047,17.0697
22.4,12.4338,1.4036,17.1704
22.5,12.4894,1.4023,17.2708
22.6,12.545,1.4013,17.3681
22.7,12.6006,1.4004,17.4685
22.8,12.6562,1.3989,17.57
22.9,12.7118,1.3979,17.6705
23,12.7674,1.3969,17.7712
23.1,12.823,1.3958,17.8719
23.2,12.8785,1.3946,17.9743
23.3,12.9341,1.3934,18.0747
23.4,12.9897,1.3924,18.176
23.5,13.0453,1.3911,18.2758
23.6,13.101,1.3902,18.3759
23.7,13.1565,1.389,18.4775
23.8,13.2122,1.3883,18.5789
23.9,13.2677,1.3869,18.6796
24,13.3234,1.3857,18.7802
24.1,13.379,1.3846,18.881
24.2,13.4346,1.3836,18.9826
24.3,13.4902,1.3823,19.0838
24.4,13.5458,1.3813,19.1843
24.5,13.6014,1.3802,19.2847
24.6,13.657,1.379,19.3847
24.7,13.7126,1.3778,19.4866
24.8,13.7681,1.3766,19.5879
24.9,13.8237,1.3756,19.6892
25,13.8793,1.3743,19.789
25.1,13.9349,1.3734,19.8903
25.2,13.9905,1.3721,19.9914
