Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
14.9,1.5602,0.522,1.0282
15,1.5706,0.5248,1.036
15.1,1.5812,0.5275,1.043
15.2,1.5917,0.5302,1.0504
15.3,1.6023,0.5331,1.0591
15.4,1.6127,0.5359,1.0651
15.5,1.6232,0.5386,1.0733
15.6,1.6337,0.5414,1.0811
15.7,1.6442,0.544,1.0881
15.8,1.6546,0.5465,1.0963
15.9,1.6652,0.5495,1.1043
16,1.6757,0.5522,1.1109
16.1,1.6861,0.5549,1.1195
16.2,1.6966,0.5576,1.1277
16.3,1.7072,0.5605,1.1344
16.4,1.7176,0.563,1.1432
16.5,1.7283,0.5659,1.1505
16.6,1.7387,0.5685,1.1582
16.7,1.7491,0.571,1.1672
16.8,1.7597,0.5737,1.1745
16.9,1.7702,0.5766,1.1822
17,1.7806,0.5789,1.1912
17.1,1.7912,0.5818,1.1988
17.2,1.8017,0.5846,1.2069
17.3,1.8121,0.5871,1.2158
17.4,1.8227,0.5894,1.223
17.5,1.8331,0.5921,1.2317
17.6,1.8437,0.5949,1.2407
17.7,1.8542,0.5975,1.2485
17.8,1.8647,0.6002,1.2567
17.9,1.8751,0.6026,1.2658
18,1.8857,0.6054,1.2734
18.1,1.8961,0.6081,1.2829
18.2,1.9068,0.6107,1.2909
18.3,1.9171,0.6132,1.2992
18.4,1.9276,0.6157,1.3088
18.5,1.9381,0.6183,1.317
18.6,1.9487,0.6209,1.3254
18.7,1.9591,0.6235,1.335
18.8,1.9698,0.6262,1.343
18.9,1.9802,0.6286,1.3512
19,1.9906,0.6312,1.3613
19.1,2.0011,0.6336,1.3694
19.2,2.0117,0.6362,1.3786
19.3,2.0222,0.6388,1.3882
19.4,2.0327,0.6412,1.3969
19.5,2.0432,0.6437,1.4057
19.6,2.0536,0.6463,1.4154
19.7,2.0641,0.6487,1.4238
19.8,2.0747,0.6512,1.4339
19.9,2.0852,0.6538,1.4438
20,2.0956,0.6561,1.452
20.1,2.1062,0.6587,1.4621
20.2,2.1167,0.661,1.4717
20.3,2.1272,0.6635,1.4804
20.4,2.1376,0.6659,1.4902
20.5,2.1483,0.6684,1.4995
20.6,2.1587,0.6705,1.5087
20.7,2.1691,0.673,1.5191
20.8,2.1797,0.6755,1.5283
20.9,2.1902,0.6779,1.5378
21,2.2006,0.6801,1.5482
21.1,2.2113,0.6825,1.5578
21.2,2.2217,0.6849,1.5673
21.3,2.2321,0.687,1.5778
21.4,2.2427,0.6896,1.5869
21.5,2.2532,0.692,1.5969
21.6,2.2637,0.6943,1.6075
21.7,2.2742,0.6964,1.6168
21.8,2.2847,0.6987,1.6275
21.9,2.2952,0.7011,1.6372
22,2.3057,0.7033,1.6469
22.1,2.3161,0.7055,1.6577
22.2,2.3267,0.7078,1.6681
22.3,2.3371,0.71,1.6775
22.4,2.3477,0.7123,1.6887
22.5,2.3581,0.7145,1.6987
22.6,2.3687,0.7167,1.7084
22.7,2.3791,0.7187,1.7201
22.8,2.3898,0.7214,1.7302
22.9,2.4002,0.7232,1.7397
23,2.4107,0.7253,1.751
23.1,2.4212,0.7276,1.7609
23.2,2.4317,0.7299,1.7714
23.3,2.4421,0.7318,1.7826
23.4,2.4528,0.7342,1.7926
23.5,2.4632,0.7361,1.8035
23.6,2.4736,0.7382,1.8144
23.7,2.4842,0.7404,1.8242
23.8,2.4947,0.7426,1.8355
23.9,2.5052,0.7446,1.8468
24,2.5157,0.7468,1.8566
24.1,2.5262,0.7487,1.8682
24.2,2.5366,0.7507,1.8792
24.3,2.5472,0.7529,1.8896
24.4,2.5577,0.755,1.9013
24.5,2.5682,0.757,1.9117
24.6,2.5786,0.759,1.9215
24.7,2.5891,0.761,1.9336
24.8,2.5996,0.763,1.9445
24.9,2.6102,0.765,1.9549
25,2.6206,0.767,1.967
25.1,2.6312,0.769,1.9781
25.2,2.6416,0.771,1.9885
25.3,2.6522,0.773,2.0012
25.4,2.6627,0.7751,2.0112
25.5,2.6732,0.7771,2.0225
25.6,2.6836,0.7789,2.0347
25.7,2.6943,0.7809,2.0452
25.8,2.7047,0.783,2.0563
25.9,2.7151,0.7846,2.0677
26,2.7257,0.7866,2.0786
26.1,2.7362,0.7884,2.0901
26.2,2.7467,0.7903,2.1016
26.3,2.7572,0.7923,2.1123
26.4,2.7677,0.7941,2.1242
26.5,2.7781,0.7959,2.1358
26.6,2.7887,0.7981,2.1462
26.7,2.7992,0.7999,2.1587
26.8,2.8097,0.8016,2.1695
26.9,2.8201,0.8036,2.1802
27,2.8306,0.8053,2.1928
27.1,2.841,0.8072,2.2036
27.2,2.8516,0.809,2.2147
27.3,2.862,0.8109,2.2268
27.4,2.8727,0.8127,2.2383
27.5,2.8832,0.8145,2.2496
27.6,2.8936,0.8163,2.2617
27.7,2.9042,0.8181,2.2724
27.8,2.9147,0.8201,2.2843
27.9,2.9252,0.8216,2.2961
28,2.9358,0.8236,2.3071
28.1,2.9462,0.8253,2.3195
28.2,2.9567,0.827,2.3312
28.3,2.9673,0.8288,2.3423
28.4,2.9777,0.8306,2.355
28.5,2.9882,0.8324,2.3665
28.6,2.9987,0.8341,2.3776
28.7,3.0092,0.8357,2.3901
28.8,3.0196,0.8376,2.4017
28.9,3.0302,0.8393,2.4131
29,3.0406,0.8411,2.425
29.1,3.0512,0.8426,2.4366
29.2,3.0616,0.8445,2.4481
29.3,3.0722,0.8461,2.4604
29.4,3.0826,0.8478,2.4713
29.5,3.0932,0.8498,2.4832
29.6,3.1036,0.8512,2.4958
29.7,3.1142,0.853,2.5065
29.8,3.1246,0.8547,2.5186
29.9,3.1351,0.8564,2.5313
30,3.1457,0.8582,2.5424
30.1,3.1562,0.8597,2.5542
30.2,3.1666,0.8615,2.5661
30.3,3.1773,0.8632,2.5777
30.4,3.1877,0.8648,2.5897
30.5,3.1982,0.8663,2.6015
30.6,3.2088,0.8682,2.6129
30.7,3.2192,0.8695,2.6254
30.8,3.2297,0.8714,2.637
30.9,3.2402,0.873,2.6484
31,3.2507,0.8746,2.6612
31.1,3.2611,0.876,2.6723
31.2,3.2717,0.878,2.6842
31.3,3.2821,0.8792,2.6969
31.4,3.2927,0.8811,2.7081
31.5,3.3032,0.8826,2.7199
31.6,3.3137,0.8842,2.7328
31.7,3.3242,0.886,2.7437
31.8,3.3346,0.8873,2.7561
31.9,3.3451,0.8888,2.7685
32,3.3557,0.8907,2.7797
32.1,3.3661,0.8921,2.7922
32.2,3.3766,0.8936,2.8041
