Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,3.0109,0.0001,-0.0004
0.1,3.0151,0.0139,0.0016
0.2,3.0226,0.0211,0.0062
0.3,3.0302,0.026,0.0052
0.4,3.0376,0.0288,0.0046
0.5,3.045,0.0316,0.0028
0.6,3.0526,0.0386,0.0021
0.7,3.0601,0.0411,0.0032
0.8,3.0676,0.0421,0.0054
0.9,3.075,0.044,0.0059
1,3.0825,0.0442,0.0057
1.1,3.09,0.0457,0.0092
1.2,3.0975,0.0466,0.0115
1.3,3.1049,0.0469,0.0092
1.4,3.1126,0.0475,0.0071
1.5,3.1201,0.0478,0.0071
1.6,3.1276,0.0482,0.0063
1.7,3.135,0.0486,0.0039
1.8,3.1425,0.0504,0.0045
1.9,3.1501,0.0511,0.0032
2,3.1575,0.0521,0.0036
2.1,3.165,0.0534,0.0034
2.2,3.1726,0.0548,0.0027
2.3,3.1801,0.0556,0.0042
2.4,3.1876,0.0565,0.0037
2.5,3.195,0.0571,0.0039
2.6,3.2025,0.0574,0.0053
2.7,3.2101,0.0578,0.0041
2.8,3.2175,0.0581,0.0037
2.9,3.2249,0.0589,0.0043
3,3.2325,0.0596,0.0031
3.1,3.24,0.0603,0.0032
3.2,3.2475,0.061,0.0018
3.3,3.255,0.0619,0.0016
3.4,3.2625,0.0633,0.0016
3.5,3.2701,0.065,0.0001
3.6,3.2776,0.0672,-0.0007
3.7,3.285,0.0707,-0.0002
3.8,3.2926,0.0752,-0.0028
3.9,3.3001,0.0797,-0.0043
4,3.3075,0.084,-0.0052
4.1,3.315,0.0972,-0.0057
4.2,3.3225,0.1151,-0.0062
4.3,3.33,0.1311,-0.0058
4.4,3.3375,0.1558,-0.0055
4.5,3.3449,0.1784,-0.0057
4.6,3.3526,0.1975,-0.0056
4.7,3.36,0.2133,-0.0059
4.8,3.3675,0.2265,-0.0056
4.9,3.375,0.2384,-0.0053
5,3.3825,0.2483,-0.0058
5.1,3.3901,0.2569,-0.006
5.2,3.3976,0.264,-0.006
5.3,3.405,0.2707,-0.006
5.4,3.4126,0.2765,-0.0058
5.5,3.42,0.2824,-0.0065
5.6,3.4275,0.2874,-0.0071
5.7,3.435,0.2923,-0.0066
5.8,3.4425,0.2968,-0.0073
5.9,3.45,0.3008,-0.0073
6,3.4575,0.3042,-0.0072
6.1,3.4649,0.3075,-0.0077
6.2,3.4725,0.3107,-0.0074
6.3,3.4801,0.3143,-0.0076
6.4,3.4876,0.3184,-0.0082
6.5,3.4951,0.3221,-0.0077
6.6,3.5027,0.3252,-0.0079
6.7,3.5102,0.329,-0.0086
6.8,3.5176,0.3335,-0.0081
6.9,3.525,0.3378,-0.0087
7,3.5326,0.3428,-0.0085
7.1,3.54,0.3477,-0.008
7.2,3.5475,0.3534,-0.0086
7.3,3.555,0.3593,-0.0081
7.4,3.5625,0.3653,-0.008
7.5,3.57,0.3717,-0.0087
7.6,3.5775,0.3783,-0.0086
7.7,3.5849,0.3863,-0.0086
7.8,3.5926,0.3952,-0.0083
7.9,3.6001,0.4051,-0.0081
8,3.6076,0.4159,-0.0079
8.1,3.6151,0.4273,-0.0075
8.2,3.6226,0.4392,-0.0069
8.3,3.6301,0.4521,-0.0071
8.4,3.6375,0.4652,-0.0062
8.5,3.645,0.4789,-0.006
8.6,3.6526,0.4934,-0.0055
8.7,3.6601,0.508,-0.0052
8.8,3.6675,0.5231,-0.0049
8.9,3.6749,0.5389,-0.0048
9,3.6825,0.5552,-0.0039
9.1,3.69,0.5718,-0.0037
9.2,3.6975,0.5889,-0.0034
9.3,3.7049,0.6059,-0.0023
9.4,3.7126,0.6244,-0.002
9.5,3.7201,0.6419,-0.0018
9.6,3.7275,0.6603,-0.0008
9.7,3.735,0.6787,-0.0009
9.8,3.7426,0.6976,0.0001
9.9,3.7501,0.7167,0.0006
10,3.7575,0.7357,0.0011
10.1,3.765,0.7546,0.0023
10.2,3.7726,0.7749,0.0025
10.3,3.7801,0.7942,0.0021
10.4,3.7875,0.8138,0.0033
10.5,3.795,0.8334,0.0038
10.6,3.8025,0.8538,0.0044
10.7,3.81,0.874,0.0053
10.8,3.8175,0.894,0.006
10.9,3.825,0.9142,0.0065
11,3.8326,0.9352,0.0074
11.1,3.8401,0.9553,0.0075
11.2,3.8475,0.9756,0.008
11.3,3.855,0.9954,0.0091
11.4,3.8625,1.0158,0.0094
11.5,3.87,1.0359,0.01
11.6,3.8775,1.0558,0.0106
11.7,3.885,1.0752,0.0108
11.8,3.8926,1.0959,0.0115
11.9,3.9,1.1158,0.0128
12,3.9075,1.1357,0.0125
12.1,3.915,1.1556,0.0133
12.2,3.9225,1.176,0.014
12.3,3.93,1.1959,0.0141
12.4,3.9375,1.216,0.0153
12.5,3.9449,1.2359,0.0153
12.6,3.9526,1.2568,0.0156
12.7,3.9601,1.2769,0.0173
12.8,3.9675,1.297,0.0177
12.9,3.9751,1.317,0.0179
13,3.9825,1.338,0.019
13.1,3.99,1.3588,0.02
13.2,3.9975,1.3795,0.0209
13.3,4.005,1.4002,0.0217
